user_id,article_list
3,"[442, 247, 437, 209, 26]"
5,"[428, 399, 209, 352, 455]"
5,"[428, 399, 209, 352, 455]"
5,"[428, 399, 209, 352, 455]"
6,"[442, 247, 437, 209, 26]"
8,"[442, 247, 437, 209, 26]"
10,"[252, 351, 255, 455, 26]"
10,"[252, 351, 255, 455, 26]"
11,"[431, 354, 437, 269, 226]"
11,"[431, 354, 437, 269, 226]"
12,"[442, 247, 437, 209, 26]"
16,"[437, 399, 136, 327, 389]"
17,"[428, 7, 389, 399, 421]"
17,"[428, 7, 389, 399, 421]"
22,"[437, 442, 247, 428, 209]"
22,"[437, 442, 247, 428, 209]"
24,"[147, 297, 348, 135, 340]"
24,"[147, 297, 348, 135, 340]"
24,"[147, 297, 348, 135, 340]"
24,"[147, 297, 348, 135, 340]"
24,"[147, 297, 348, 135, 340]"
25,"[174, 252, 265, 375, 352]"
26,"[442, 247, 437, 209, 26]"
29,"[442, 247, 437, 209, 26]"
32,"[428, 209, 399, 354, 252]"
32,"[428, 209, 399, 354, 252]"
32,"[428, 209, 399, 354, 252]"
32,"[428, 209, 399, 354, 252]"
32,"[428, 209, 399, 354, 252]"
40,"[437, 399, 136, 327, 389]"
45,"[437, 399, 136, 327, 389]"
47,"[437, 399, 136, 327, 389]"
48,"[421, 437, 409, 442, 26]"
48,"[421, 437, 409, 442, 26]"
48,"[421, 437, 409, 442, 26]"
48,"[421, 437, 409, 442, 26]"
50,"[428, 7, 389, 399, 421]"
50,"[428, 7, 389, 399, 421]"
51,"[209, 247, 421, 6, 409]"
51,"[209, 247, 421, 6, 409]"
51,"[209, 247, 421, 6, 409]"
51,"[209, 247, 421, 6, 409]"
51,"[209, 247, 421, 6, 409]"
51,"[209, 247, 421, 6, 409]"
52,"[437, 399, 136, 327, 389]"
55,"[421, 1, 2, 252, 118]"
55,"[421, 1, 2, 252, 118]"
58,"[442, 247, 437, 209, 26]"
59,"[442, 247, 437, 209, 26]"
61,"[26, 135, 228, 352, 418]"
64,"[174, 353, 409, 213, 302]"
64,"[174, 353, 409, 213, 302]"
64,"[174, 353, 409, 213, 302]"
64,"[174, 353, 409, 213, 302]"
64,"[174, 353, 409, 213, 302]"
64,"[174, 353, 409, 213, 302]"
64,"[174, 353, 409, 213, 302]"
64,"[174, 353, 409, 213, 302]"
64,"[174, 353, 409, 213, 302]"
64,"[174, 353, 409, 213, 302]"
64,"[174, 353, 409, 213, 302]"
64,"[174, 353, 409, 213, 302]"
72,"[437, 455, 327, 26, 252]"
73,"[437, 399, 136, 327, 389]"
75,"[442, 247, 437, 209, 26]"
77,"[418, 136, 399, 209, 26]"
78,"[437, 136, 354, 442, 332]"
78,"[437, 136, 354, 442, 332]"
78,"[437, 136, 354, 442, 332]"
80,"[431, 389, 254, 174, 353]"
89,"[437, 26, 418, 247, 228]"
89,"[437, 26, 418, 247, 228]"
89,"[437, 26, 418, 247, 228]"
94,"[442, 332, 228, 209, 136]"
94,"[442, 332, 228, 209, 136]"
94,"[442, 332, 228, 209, 136]"
94,"[442, 332, 228, 209, 136]"
94,"[442, 332, 228, 209, 136]"
94,"[442, 332, 228, 209, 136]"
94,"[442, 332, 228, 209, 136]"
94,"[442, 332, 228, 209, 136]"
94,"[442, 332, 228, 209, 136]"
94,"[442, 332, 228, 209, 136]"
94,"[442, 332, 228, 209, 136]"
102,"[437, 399, 136, 327, 389]"
104,"[247, 418, 389, 428, 431]"
111,"[442, 421, 247, 409, 431]"
